Turn Number;Leader Switches;SSD;ESD
71;1;31109;970
71;1;31109;970
71;1;31109;970
71;1;31109;970
71;1;31109;970
71;1;31109;970
71;1;31109;970
71;1;31109;970
71;1;31109;970
71;1;31109;970
71;1;31109;970
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
69;1;47749;1090
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
65;1;37342;1100
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
67;1;46060;2180
